EventId,TimeCreated,Provider,Computer,Account,SourceAddress,Level
4625,2026-01-05T02:10:00Z,Microsoft-Windows-Security-Auditing,APP-SRV01,victim.demo,203.0.113.50,Information
4625,2026-01-05T02:10:20Z,Microsoft-Windows-Security-Auditing,APP-SRV01,victim.demo,203.0.113.50,Information
4625,2026-01-05T02:10:40Z,Microsoft-Windows-Security-Auditing,APP-SRV01,victim.demo,203.0.113.50,Information
4625,2026-01-05T02:11:00Z,Microsoft-Windows-Security-Auditing,APP-SRV01,victim.demo,203.0.113.50,Information
4625,2026-01-05T02:11:20Z,Microsoft-Windows-Security-Auditing,APP-SRV01,victim.demo,203.0.113.50,Information
4625,2026-01-05T02:11:40Z,Microsoft-Windows-Security-Auditing,APP-SRV01,victim.demo,203.0.113.50,Information
4625,2026-01-05T02:12:00Z,Microsoft-Windows-Security-Auditing,APP-SRV01,victim.demo,203.0.113.50,Information
4625,2026-01-05T02:12:20Z,Microsoft-Windows-Security-Auditing,APP-SRV01,victim.demo,203.0.113.50,Information
4625,2026-01-05T02:12:40Z,Microsoft-Windows-Security-Auditing,APP-SRV01,victim.demo,203.0.113.50,Information
4625,2026-01-05T02:13:00Z,Microsoft-Windows-Security-Auditing,APP-SRV01,victim.demo,203.0.113.50,Information
4624,2026-01-05T02:13:30Z,Microsoft-Windows-Security-Auditing,APP-SRV01,victim.demo,203.0.113.50,Information
1102,2026-01-06T15:31:00Z,Microsoft-Windows-Eventlog,DC01,temp-svc99,192.0.2.20,Information
